race_id,race_date,venue,race_no,car_no,rider_name_raw,class,style,competition_score,S,B,nige,makuri,sashi,mark,source_url,source_file_sha256,evidence_role
3420260830010001,2026-08-30,川崎,1,1,葛西 雄太郎 愛 媛/47/85,A2,両,3.92,5,7,3,0,3,4,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010001/,c88ec9a3be6ccc49db8ac9e669c84931d53a5aceb664acd287ce200a1081ed9b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010001,2026-08-30,川崎,1,2,高橋 大輝 秋 田/32/111,A2,両,3.92,0,3,0,3,2,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010001/,c88ec9a3be6ccc49db8ac9e669c84931d53a5aceb664acd287ce200a1081ed9b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010001,2026-08-30,川崎,1,3,上川 直紀 栃 木/30/117,A1,両,3.92,1,4,2,4,1,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010001/,c88ec9a3be6ccc49db8ac9e669c84931d53a5aceb664acd287ce200a1081ed9b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010001,2026-08-30,川崎,1,4,秋葉 大輔 東 京/44/90,A2,追,3.92,0,0,0,0,2,4,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010001/,c88ec9a3be6ccc49db8ac9e669c84931d53a5aceb664acd287ce200a1081ed9b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010001,2026-08-30,川崎,1,5,山原 利秀 高 知/57/63,A2,追,3.92,0,0,0,0,3,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010001/,c88ec9a3be6ccc49db8ac9e669c84931d53a5aceb664acd287ce200a1081ed9b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010001,2026-08-30,川崎,1,6,有賀 高士 石 川/57/61,A2,追,3.93,1,0,0,0,5,5,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010001/,c88ec9a3be6ccc49db8ac9e669c84931d53a5aceb664acd287ce200a1081ed9b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010001,2026-08-30,川崎,1,7,伊藤 奎 福 島/27/115,A1,追,3.92,4,1,1,0,6,3,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010001/,c88ec9a3be6ccc49db8ac9e669c84931d53a5aceb664acd287ce200a1081ed9b,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010002,2026-08-30,川崎,2,1,愛敬 博之 愛 知/42/94,A1,追,3.93,0,0,0,1,7,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010002/,d158862cd68c8ce46a316b7c845730f6225a6264b8acb4a86b17fef55f552cda,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010002,2026-08-30,川崎,2,2,遠藤 勝行 静 岡/52/73,A2,追,3.92,2,0,0,0,2,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010002/,d158862cd68c8ce46a316b7c845730f6225a6264b8acb4a86b17fef55f552cda,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010002,2026-08-30,川崎,2,3,市本 隆司 広 島/55/72,A2,両,3.93,3,0,0,1,6,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010002/,d158862cd68c8ce46a316b7c845730f6225a6264b8acb4a86b17fef55f552cda,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010002,2026-08-30,川崎,2,4,伊原 克彦 福 井/44/91,A1,両,3.92,1,4,1,7,4,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010002/,d158862cd68c8ce46a316b7c845730f6225a6264b8acb4a86b17fef55f552cda,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010002,2026-08-30,川崎,2,5,鮒田 博文 三 重/48/79,A2,追,3.93,0,0,0,0,1,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010002/,d158862cd68c8ce46a316b7c845730f6225a6264b8acb4a86b17fef55f552cda,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010002,2026-08-30,川崎,2,6,勝俣 亮 神奈川/48/82,A2,両,3.92,1,4,4,0,0,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010002/,d158862cd68c8ce46a316b7c845730f6225a6264b8acb4a86b17fef55f552cda,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010002,2026-08-30,川崎,2,7,山口 留稀哉 長 崎/23/127,A2,逃,3.92,14,12,9,6,3,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010002/,d158862cd68c8ce46a316b7c845730f6225a6264b8acb4a86b17fef55f552cda,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010003,2026-08-30,川崎,3,1,本多 哲也 千 葉/38/97,A1,両,3.92,2,4,1,3,1,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010003/,559f250137d403bf784ebdfbec6069ac15b75d36e18d08b46ba9ed1cf5c518fa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010003,2026-08-30,川崎,3,2,境 啓亨 熊 本/34/111,A2,逃,3.92,1,1,1,0,1,2,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010003/,559f250137d403bf784ebdfbec6069ac15b75d36e18d08b46ba9ed1cf5c518fa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010003,2026-08-30,川崎,3,3,馬越 裕之 奈 良/26/127,A2,逃,3.92,2,10,2,3,0,0,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010003/,559f250137d403bf784ebdfbec6069ac15b75d36e18d08b46ba9ed1cf5c518fa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
3420260830010003,2026-08-30,川崎,3,4,高橋 優斗 大 分/29/121,A1,逃,3.93,3,2,0,2,1,1,https://keirin.kdreams.jp/kawasaki/racedetail/3420260830010003/,559f250137d403bf784ebdfbec6069ac15b75d36e18d08b46ba9ed1cf5c518fa,HISTORICAL_PIT_PRE_SUPPORT_CANDIDATE_ONLY
